OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
33;"Tram";"3";"03";3;"POINT(4.881063,52.381491)";"POINT(52.381491,4.881063)";"4,881063";"52,381491";
34;"Tram";"7";"07";3;"POINT(4.937336,52.376736)";"POINT(52.376736,4.937336)";"4,937336";"52,376736";
35;"Tram";"7";"07";3;"POINT(4.821464,52.381318)";"POINT(52.381318,4.821464)";"4,821464";"52,381318";
36;"Tram";"5";"05";3;"POINT(4.875046,52.384355)";"POINT(52.384355,4.875046)";"4,875046";"52,384355";
37;"Tram";"7";"07";3;"POINT(4.926464,52.368266)";"POINT(52.368266,4.926464)";"4,926464";"52,368266";
38;"Tram";"7";"07";3;"POINT(4.93846,52.373499)";"POINT(52.373499,4.93846)";"4,93846";"52,373499";
39;"Tram";"1 | 7 | 19";"01|07|19";3;"POINT(4.914325,52.36248)";"POINT(52.36248,4.914325)";"4,914325";"52,36248";
40;"Tram";"1 | 7 | 19 | 24 | 52";"01|07|19|24|52";3;"POINT(4.890948,52.359625)";"POINT(52.359625,4.890948)";"4,890948";"52,359625";
41;"Tram";"1 | 7 | 19";"01|07|19";3;"POINT(4.887262,52.360882)";"POINT(52.360882,4.887262)";"4,887262";"52,360882";
42;"Tram";"3";"03";3;"POINT(4.883593,52.385037)";"POINT(52.385037,4.883593)";"4,883593";"52,385037";
43;"Tram";"5";"05";3;"POINT(4.877053,52.383178)";"POINT(52.383178,4.877053)";"4,877053";"52,383178";
44;"Tram";"5";"05";3;"POINT(4.879194,52.381133)";"POINT(52.381133,4.879194)";"4,879194";"52,381133";
45;"Tram";"7 | 14 | 19";"07|14|19";3;"POINT(4.918934,52.363599)";"POINT(52.363599,4.918934)";"4,918934";"52,363599";
46;"Tram";"7";"07";3;"POINT(4.924564,52.366765)";"POINT(52.366765,4.924564)";"4,924564";"52,366765";
47;"Tram";"7";"07";3;"POINT(4.929696,52.370251)";"POINT(52.370251,4.929696)";"4,929696";"52,370251";
48;"Tram";"7 | 26";"07|26";3;"POINT(4.934366,52.372892)";"POINT(52.372892,4.934366)";"4,934366";"52,372892";
49;"Tram";"13 | 19";"13|19";3;"POINT(4.86393,52.37053)";"POINT(52.37053,4.86393)";"4,86393";"52,37053";
50;"Tram";"19";"19";3;"POINT(4.857454,52.378117)";"POINT(52.378117,4.857454)";"4,857454";"52,378117";
51;"Tram";"3 | 12 | 24 | 52";"03|12|24|52";3;"POINT(4.891112,52.352783)";"POINT(52.352783,4.891112)";"4,891112";"52,352783";
52;"Tram";"19";"19";3;"POINT(4.851314,52.382567)";"POINT(52.382567,4.851314)";"4,851314";"52,382567";
53;"Tram";"19";"19";3;"POINT(4.846421,52.385881)";"POINT(52.385881,4.846421)";"4,846421";"52,385881";
54;"Tram";"12";"12";3;"POINT(4.891167,52.347338)";"POINT(52.347338,4.891167)";"4,891167";"52,347338";
55;"Tram";"4 | 52";"04|52";3;"POINT(4.891992,52.340211)";"POINT(52.340211,4.891992)";"4,891992";"52,340211";
56;"Tram";"4";"04";3;"POINT(4.900816,52.344522)";"POINT(52.344522,4.900816)";"4,900816";"52,344522";
57;"Tram";"4";"04";3;"POINT(4.896595,52.342992)";"POINT(52.342992,4.896595)";"4,896595";"52,342992";
58;"Tram";"4";"04";3;"POINT(4.893045,52.341903)";"POINT(52.341903,4.893045)";"4,893045";"52,341903";
59;"Tram";"5";"05";3;"POINT(4.867284,52.301248)";"POINT(52.301248,4.867284)";"4,867284";"52,301248";
60;"Tram";"13";"13";3;"POINT(4.855365,52.370913)";"POINT(52.370913,4.855365)";"4,855365";"52,370913";
61;"Tram";"19";"19";3;"POINT(4.858565,52.374683)";"POINT(52.374683,4.858565)";"4,858565";"52,374683";
62;"Tram";"5 | 13 | 17 | 19";"05|13|17|19";3;"POINT(4.875889,52.372173)";"POINT(52.372173,4.875889)";"4,875889";"52,372173";
63;"Tram";"3 | 5 | 12 | 24";"03|05|12|24";3;"POINT(4.88236,52.352851)";"POINT(52.352851,4.88236)";"4,88236";"52,352851";
64;"Tram";"19";"19";3;"POINT(4.854874,52.380556)";"POINT(52.380556,4.854874)";"4,854874";"52,380556";
65;"Tram";"12";"12";3;"POINT(4.895131,52.346932)";"POINT(52.346932,4.895131)";"4,895131";"52,346932";
66;"Tram";"12";"12";3;"POINT(4.899977,52.34669)";"POINT(52.34669,4.899977)";"4,899977";"52,34669";
